Sun, 24 Sep 2017 12:22:47 INFO Get char: 0
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户5192272664, id: 5192272664
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6113341587, id: 6113341587
Sun, 24 Sep 2017 12:22:59 INFO -- username: 吃汤圆12041990, id: 2645236147
Sun, 24 Sep 2017 12:22:59 INFO -- username: 呢么6176101753, id: 6176101753
Sun, 24 Sep 2017 12:22:59 INFO -- username: XXXx16660, id: 5846524831
Sun, 24 Sep 2017 12:22:59 INFO -- username: 太乐201707, id: 6323777769
Sun, 24 Sep 2017 12:22:59 INFO -- username: 隽隽201707, id: 6300697797
Sun, 24 Sep 2017 12:22:59 INFO -- username: 当麻201606, id: 5953362362
Sun, 24 Sep 2017 12:22:59 INFO -- username: 520711XRQjH, id: 5535961694
Sun, 24 Sep 2017 12:22:59 INFO -- username: 天羽20132013, id: 3188176572
Sun, 24 Sep 2017 12:22:59 INFO -- username: 无缘无故1002, id: 1846745157
Sun, 24 Sep 2017 12:22:59 INFO -- username: 小新-31, id: 5269308421
Sun, 24 Sep 2017 12:22:59 INFO -- username: Meng1728, id: 1818744904
Sun, 24 Sep 2017 12:22:59 INFO -- username: 伴我玖516, id: 6345091238
Sun, 24 Sep 2017 12:22:59 INFO -- username: 木已沉舟11, id: 5189882579
Sun, 24 Sep 2017 12:22:59 INFO -- username: Fell19-, id: 5807764372
Sun, 24 Sep 2017 12:22:59 INFO -- username: bao51921, id: 2831154961
Sun, 24 Sep 2017 12:22:59 INFO -- username: nuan1977, id: 3866243923
Sun, 24 Sep 2017 12:22:59 INFO -- username: SHEN111112, id: 2731664415
Sun, 24 Sep 2017 12:22:59 INFO -- username: A妍妍_1688, id: 6083778926
Sun, 24 Sep 2017 12:22:59 INFO -- username: 柯柯柯柯1129, id: 2894780495
Sun, 24 Sep 2017 12:22:59 INFO -- username: 三王三马1314, id: 6372981708
Sun, 24 Sep 2017 12:22:59 INFO -- username: 多多20110712, id: 1856962624
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户5310166411, id: 5310166411
Sun, 24 Sep 2017 12:22:59 INFO -- username: 小蓝2016毕业啦, id: 1747925651
Sun, 24 Sep 2017 12:22:59 INFO -- username: 手机用户1868721610, id: 1868721610
Sun, 24 Sep 2017 12:22:59 INFO -- username: Minyu105, id: 2029618803
Sun, 24 Sep 2017 12:22:59 INFO -- username: 陈士华001, id: 1893098347
Sun, 24 Sep 2017 12:22:59 INFO -- username: 陈浩V2016, id: 5905882110
Sun, 24 Sep 2017 12:22:59 INFO -- username: 大甜甜2015, id: 2276659213
Sun, 24 Sep 2017 12:22:59 INFO -- username: 泡泡_20170, id: 5772766837
Sun, 24 Sep 2017 12:22:59 INFO -- username: ccta_15740, id: 5353387082
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6001770559, id: 6001770559
Sun, 24 Sep 2017 12:22:59 INFO -- username: 乐在其中1719, id: 5826379171
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户5518795426, id: 5518795426
Sun, 24 Sep 2017 12:22:59 INFO -- username: 刘艳坤3126992243, id: 3126992243
Sun, 24 Sep 2017 12:22:59 INFO -- username: youth125, id: 5790488652
Sun, 24 Sep 2017 12:22:59 INFO -- username: star_1213, id: 2640759174
Sun, 24 Sep 2017 12:22:59 INFO -- username: luyun1121, id: 6079599513
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户5761427448, id: 5761427448
Sun, 24 Sep 2017 12:22:59 INFO -- username: 干杯颜颜-1994, id: 6186237284
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6331865279, id: 6331865279
Sun, 24 Sep 2017 12:22:59 INFO -- username: LY520819, id: 5738720680
Sun, 24 Sep 2017 12:22:59 INFO -- username: 大鹿鹿-0612, id: 6186180586
Sun, 24 Sep 2017 12:22:59 INFO -- username: 遇见爱情2010, id: 1869403812
Sun, 24 Sep 2017 12:22:59 INFO -- username: 彩色咖啡2012, id: 2033207105
Sun, 24 Sep 2017 12:22:59 INFO -- username: 晴耕雨读2014, id: 6097095424
Sun, 24 Sep 2017 12:22:59 INFO -- username: 玉净花明2012, id: 2722097193
Sun, 24 Sep 2017 12:22:59 INFO -- username: m生如夏花6120, id: 5674010483
Sun, 24 Sep 2017 12:22:59 INFO -- username: 蒙奇D琳201702, id: 6136567152
Sun, 24 Sep 2017 12:22:59 INFO -- username: 梦的眼泪77100, id: 5863917338
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户5509116166, id: 5509116166
Sun, 24 Sep 2017 12:22:59 INFO -- username: 啊哈可爱多51020, id: 6251614483
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6070157079, id: 6070157079
Sun, 24 Sep 2017 12:22:59 INFO -- username: 冰山一族_41902, id: 3986378775
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户5626103661, id: 5626103661
Sun, 24 Sep 2017 12:22:59 INFO -- username: 双子座的苏苏1920, id: 6351975623
Sun, 24 Sep 2017 12:22:59 INFO -- username: Wlling1987, id: 2605965123
Sun, 24 Sep 2017 12:22:59 INFO -- username: qwer马甲1711, id: 5648511900
Sun, 24 Sep 2017 12:22:59 INFO -- username: 夏青的微博818, id: 2129682971
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6278184885, id: 6278184885
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户5397111488, id: 5397111488
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6366819043, id: 6366819043
Sun, 24 Sep 2017 12:22:59 INFO -- username: 风风2066410163, id: 2066410163
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6025016123, id: 6025016123
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6369010282, id: 6369010282
Sun, 24 Sep 2017 12:22:59 INFO -- username: 用户6078011598, id: 6078011598
Sun, 24 Sep 2017 12:22:59 INFO -- username: 取个名字好麻烦100990, id: 5064913471
Sun, 24 Sep 2017 12:22:59 INFO -- username: hong200212, id: 5925496914
